Chrom	Start	End	Cytoband	EC_T1_vs_EC_O1	EC_T2_vs_EC_O2	EC_T3_vs_EC_O3	EC_T4_vs_EC_O4
1	176000000	180300000	1q25.2	0.069	-0.027	0.011	0
3	98300000	100000000	3q12.1	0.082	-0.044	-0.046	0.067
4	17800000	21300000	4p15.31	-0.585	-0.009	-0.04	0.084
11	130800000	135006516	11q25	0.4265	-0.05	0.021	-0.052
19	6900000	13900000	19p13.2	-0.712141552511416	0.152999999999999	0.233410958904109	-0.161000000000001
1	16200000	20400000	1p36.13	0.521271186440678	0.039	0.022	-0.073
8	27400000	28800000	8p21.1	-0.946	0.013	-0.001	0.023
6	155500000	161000000	6q25.3	-0.042	0.00800000000000001	0.0600243902439024	-0.00800000000000001
8	19000000	23300000	8p21.3	-0.946	0.013	-0.001	0.023
10	38000000	40200000	10p11.1	0.162	-0.029	-0.055	-0.025
9	133500000	134000000	9q34.12	1	0.022	0.029	-0.149
12	46400000	49100000	12q13.11	-0.418	0.014	0.0636969696969697	0.033
5	159900000	168500000	5q34	0.546846153846154	0.001	-0.025	-0.001
6	52900000	57000000	6p12.1	-0.012	0.008	-0.004	0.006
10	127500000	130600000	10q26.2	0.380076923076923	-0.009	-0.072	-0.041
13	40100000	45200000	13q14.11	-0.465	-0.026	-0.033	0.213710526315789
1	207200000	211500000	1q32.2	-0.082	-0.027	0.011	0
3	91000000	93900000	3q11.1	0.082	-0.044	-0.046	0.025
20	22300000	25600000	20p11.21	0.016	0	0.002	-0.06
18	66800000	68700000	18q22.2	-0.108	-0.044	-0.075	0.012
1	2300000	5400000	1p36.32	0.36	0.039	0.022	-0.073
4	128800000	131100000	4q28.2	-0.585	-0.01	-0.04	0.084
4	15200000	17800000	4p15.32	-0.585	-0.009	-0.04	0.084
3	100900000	102800000	3q12.3	0.082	-0.044	-0.046	0.067
2	64100000	68600000	2p14	-0.041	0.023	0.01	0.0767083333333334
12	89000000	92600000	12q21.33	-0.625	0.035	-0.051	0.033
3	142800000	148900000	3q24	0.082	-0.042	0.005	0.067
2	110200000	114400000	2q13	0.00700000000000001	-0.022	0.01	0.0122545454545455
6	131200000	135200000	6q23.2	-0.042	0.00800000000000001	-0.00385714285714286	0.066
8	122500000	127300000	8q24.13	0	0.157909090909091	-0.001	-0.195818181818182
10	31300000	34400000	10p11.22	0.162	-0.029	-0.055	0.401545454545455
4	59500000	66600000	4q13.1	-0.585	-0.01	-0.04	0.084
2	154900000	159800000	2q24.1	-0.485	-0.022	0.01	0.053
1	23900000	28000000	1p36.11	0.161	0.039	0.0814534883720929	-0.0730000000000001
16	57400000	66700000	16q21	-0.536	0.0821363636363636	-0.02	-0.133659090909091
12	54900000	56600000	12q13.2	-0.418	0.002	0.180450980392157	0.033
15	31200000	33600000	15q13.3	-0.488428571428571	0.01	-0.051	-0.047
5	4500000	6300000	5p15.32	0.196	-0.016	-0.025	-0.029
17	3300000	6500000	17p13.2	-0.629931506849314	0.06	0.173	-0.116
3	16400000	23900000	3p24.3	0.007	-0.042	-0.004	-0.074
6	130300000	131200000	6q23.1	-0.042	0.008	-0.004	0.066
5	155700000	159900000	5q33.3	0.317	0.001	-0.025	-0.001
9	130300000	133500000	9q34.11	0.412120481927711	0.022	0.0579397590361445	-0.149
5	127300000	130600000	5q23.3	0.112	0.001	-0.025	-0.001
4	82400000	84100000	4q21.22	-0.585	-0.01	-0.04	0.084
3	36500000	39400000	3p22.2	0.195636363636364	-0.078	-0.004	-0.074
14	79300000	83600000	14q31.1	0.267375	0.045	0	-0.01
14	35300000	36600000	14q13.2	0.036	0.045	0.074	0.058
1	147000000	150300000	1q21.2	0.084	0.042	0.0178571428571429	0
4	176300000	177500000	4q34.2	-0.585	-0.042	-0.04	0.1
22	32200000	37600000	22q12.3	-0.69044	-0.038	-0.00399999999999995	-0.123
4	183200000	187100000	4q35.1	-0.585000000000001	-0.042	-0.04	0.1
3	87200000	87900000	3p11.2	0.082	-0.044	-0.046	0.025
20	37600000	41700000	20q12	0.816	0	0.002	-0.121
14	62100000	64800000	14q23.2	0.113	0.045	0.074	-0.01
17	61100000	62600000	17q23.3	0.097	0.0315833333333333	0.116	-0.003
21	39700000	42600000	21q22.2	0.415363636363636	-0.03	0.160363636363636	-0.115
3	157000000	159000000	3q25.32	0.082	0.015	0.005	0.067
1	243700000	249250621	1q44	-0.003	-0.173151898734177	0.011	0.01
21	31500000	35800000	21q22.11	0.00425641025641025	-0.03	0.0579999999999999	0.0770384615384616
7	129200000	130400000	7q32.2	0.041	-0.007	-0.006	0.012
11	31000000	36400000	11p13	0.09	-0.061	-0.044	0.0372142857142857
5	172800000	176600000	5q35.2	0.627684210526316	0.001	-0.025	-0.001
1	88400000	92000000	1p22.2	-0.258090909090909	0.039	0.02	0
13	50900000	55300000	13q14.3	-0.459	0.0664	-0.033	0.127
21	42600000	48129895	21q22.3	0.411121212121212	0.0117171717171717	-0.0178888888888889	-0.115
7	130400000	132600000	7q32.3	0.041	-0.007	-0.006	0.012
11	48800000	51600000	11p11.12	0.09	0.083	-0.025	-0.096
2	135100000	136800000	2q21.3	-0.485	-0.022	0.01	0.053
11	123900000	127800000	11q24.2	0.059	-0.05	0.021	-0.052
7	123800000	127100000	7q31.33	0.041	-0.007	-0.006	0.012
10	121700000	123100000	10q26.12	0.359	-0.009	-0.072	-0.041
10	18700000	22600000	10p12.31	0.162	-0.029	-0.055	0.053
11	102900000	110400000	11q22.3	-0.245513513513514	-0.05	0.021	-0.0365405405405406
9	41000000	43600000	9p12	0.126	-0.046	0.019	-0.037
8	66000000	68000000	8q13.1	0	0.327923076923077	-0.001	0.023
3	170900000	175700000	3q26.31	0.082	-0.016	0.005	0.064
15	75200000	76600000	15q24.2	-0.476931034482759	0.05	0.035	-0.029
9	50700000	65900000	9q12	0.126	-0.046	0.019	-0.037
16	12600000	14800000	16p13.12	-0.335	0.077	0.059	-0.120166666666667
19	13900000	14000000	19p13.13	-0.59	0.153	0.263	-0.161
7	67000000	72200000	7q11.22	0.077	0.055	0.072	-0.004
13	107000000	110300000	13q33.3	-0.459	-0.02	-0.033	-0.01
19	32400000	35500000	19q13.11	-0.696999999999999	0.153	0.141	-0.0495641025641026
4	141500000	146800000	4q31.21	-0.585	-0.01	-0.04	0.119
9	137400000	141213431	9q34.3	0.677909090909091	0.13	0.0289999999999999	-0.149
4	21300000	27700000	4p15.2	-0.585	-0.009	-0.04	0.084
3	192300000	198022430	3q29	0.357985507246377	0.0306666666666667	0.065	0.064
3	160700000	167600000	3q26.1	0.082	0.015	0.005	0.067
14	19100000	24600000	14q11.2	0.846073170731709	-0.0443739837398374	0.0739999999999999	0.0477560975609755
18	53800000	56200000	18q21.31	-0.108	-0.044	-0.075	-0.005
2	71500000	73500000	2p13.2	-0.041	0.023	0.01	-0.03
5	149800000	152700000	5q33.1	0.345416666666667	0.001	-0.025	-0.001
13	45800000	47300000	13q14.13	-0.465	-0.026	-0.033	0.169857142857143
2	132500000	135100000	2q21.2	-0.485	-0.022	0.01	0.053
6	84900000	88000000	6q14.3	-0.012	0.008	-0.004	0.143
14	43500000	47200000	14q21.2	0.036	0.045	0.074	0.058
3	148900000	152100000	3q25.1	0.082	-0.042	0.005	0.067
11	85600000	88300000	11q14.2	-0.11	0.229	0.021	-0.096
16	81700000	84200000	16q23.3	-0.298	0.08	0.04	-0.082
7	28000000	28800000	7p15.1	-0.052	0.079	0.002	-0.014
16	70800000	72900000	16q22.2	-0.298	0.08	0.04	-0.082
4	84100000	86900000	4q21.23	-0.585	-0.01	-0.04	0.084
2	75000000	83300000	2p12	-0.041	0.023	0.01	-0.03
2	237300000	243199373	2q37.3	0.0890000000000001	0.01	-0.0419999999999999	0.053
15	44800000	49500000	15q21.1	-0.670333333333333	0.01	0.0753076923076923	-0.0223076923076923
6	13400000	15200000	6p23	0.046	0.008	0.149	-0.082
17	50200000	57600000	17q22	0.0970000000000001	0.025	0.116	-0.003
20	5100000	9200000	20p12.3	0.016	0	0.002	-0.06
10	99300000	101900000	10q24.2	0.3	-0.009	0.056	-0.08
14	84900000	89800000	14q31.3	0.226	0.045	0	-0.01
2	226100000	231000000	2q36.3	-0.311	0.01	-0.018	0.053
7	0	2800000	7p22.3	0.486975609756098	0.0907560975609757	0.002	-0.014
3	4000000	8700000	3p26.1	0.21	-0.06	-0.004	-0.074
8	73900000	78300000	8q21.11	0	0.001	-0.001	0.023
10	89500000	92900000	10q23.31	0.196	-0.007	0.056	-0.0130294117647059
22	49400000	51304566	22q13.33	-0.283225	0.1132	0.0794	-0.314275
3	2800000	4000000	3p26.2	0.21	-0.06	-0.004	-0.074
19	28600000	32400000	19q12	-0.697	0.153	0.141	-0.128
3	13300000	16400000	3p25.1	0.22325641025641	-0.042	-0.004	-0.074
5	76900000	81400000	5q14.1	0.0910000000000001	0.014	-0.025	0.138705882352941
5	28900000	33800000	5p13.3	0.196	-0.016	-0.025	-0.029
7	114600000	117400000	7q31.2	0.041	-0.007	-0.006	0.012
17	58300000	61100000	17q23.2	0.097	0.025	0.116	-0.003
13	68600000	73300000	13q21.33	-0.459	-0.02	-0.033	0.127
11	68400000	70400000	11q13.3	0.313	0.083	0.021	-0.096
1	50700000	56100000	1p32.3	0.161	0.039	0.02	-0.073
15	63700000	67200000	15q22.31	-0.539714285714286	0.05	0.0119642857142857	0.054
7	45400000	49000000	7p12.3	0.077	0.055	0.072	-0.004
6	145600000	149000000	6q24.3	-0.042	0.008	0.001	0.066
5	136200000	139500000	5q31.2	0.41	0.001	-0.025	-0.001
3	135700000	138700000	3q22.3	0.082	-0.042	-0.0796	0.067
11	27200000	31000000	11p14.1	0.09	-0.061	-0.044	-0.005
6	88000000	93100000	6q15	0.138928571428571	0.00800000000000001	-0.004	0.143
5	152700000	155700000	5q33.2	0.317	0.001	-0.025	-0.001
6	152500000	155500000	6q25.2	-0.042	0.008	0.001	-0.008
16	74100000	79200000	16q23.1	-0.298	0.08	0.04	-0.082
11	127800000	130800000	11q24.3	0.059	-0.05	0.021	-0.052
22	37600000	41000000	22q13.1	-0.624987341772151	0.0632151898734177	0.0880000000000001	-0.123
4	86900000	88000000	4q21.3	-0.585	-0.01	-0.04	0.084
4	0	4500000	4p16.3	-0.024	0.0507763157894735	-0.04	0.0839999999999999
3	44100000	44200000	3p21.32	0.375	0.005	-0.004	-0.074
8	106200000	110500000	8q23.1	0	0.001	-0.001	0.023
14	73800000	79300000	14q24.3	0.452119999999999	0.045	0.0562399999999999	-0.01
12	109000000	111700000	12q24.11	-0.608714285714286	0.035	0.025	-0.004
4	161800000	164500000	4q32.2	-0.585	-0.042	-0.04	0.122
8	139900000	146364022	8q24.3	0.597133333333334	0.151391666666667	-0.001	-0.226
12	116800000	118100000	12q24.22	-0.112454545454545	0.035	0.025	-0.004
16	7900000	10500000	16p13.2	-0.307	0.077	0.108	-0.148
4	177500000	183200000	4q34.3	-0.585	-0.042	-0.04	0.1
18	17200000	19000000	18q11.1	-0.04	-0.044	-0.011	0.115
3	117300000	119000000	3q13.32	0.082	-0.044	-0.046	0.067
4	131100000	139500000	4q28.3	-0.585	-0.01	-0.04	0.084
1	59000000	61300000	1p32.1	0.161	0.039	0.02	-0.073
5	0	4500000	5p15.33	0.660684210526316	-0.016	-0.025	-0.029
3	182700000	184500000	3q27.1	0.082	-0.016	0.005	0.064
7	107400000	114600000	7q31.1	0.041	-0.007	-0.006	0.012
10	49900000	52900000	10q11.23	0.162	-0.029	-0.055	-0.025
4	123800000	128800000	4q28.1	-0.585	-0.01	-0.04	0.084
20	0	5100000	20p13	0.016	0	0.002	-0.0760599999999999
17	70900000	74800000	17q25.1	0.214317757009345	0.104	0.116	-0.176
12	10100000	12800000	12p13.2	-0.696	-0.046	-0.042	0.033
1	224600000	227000000	1q42.12	-0.082	-0.027	0.011	0.0299473684210526
12	20000000	21300000	12p12.2	-0.696	-0.046	-0.042	0.033
15	89100000	94300000	15q26.1	-0.632904761904762	-0.048	0.0756666666666666	-0.087
10	64500000	70600000	10q21.3	0.162	0.201153846153846	0.140692307692308	0.0485384615384615
9	93900000	96600000	9q22.31	0.126	-0.046	0.019	0.004
18	68700000	73100000	18q22.3	-0.108	-0.044	-0.075	0.012
6	114600000	118300000	6q22.1	-0.042	0.00800000000000001	-0.004	0.099
4	93700000	95100000	4q22.2	-0.585	-0.01	-0.04	0.084
11	55700000	59900000	11q12.1	0.0899999999999999	0.0830000000000001	-0.0249999999999999	-0.0960000000000001
6	11600000	13400000	6p24.1	0.046	0.008	0.149	-0.082
1	84900000	88400000	1p22.3	0.161	0.039	0.02	0
10	3800000	6600000	10p15.1	0.162	-0.029	-0.055	0.053
10	34400000	38000000	10p11.21	0.162	-0.029	-0.055	-0.0025
13	95000000	98200000	13q32.1	-0.459	-0.02	-0.033	0.0848461538461538
5	121400000	127300000	5q23.2	0.112	0.001	-0.025	-0.001
7	98000000	103800000	7q22.1	0.251238805970149	0.116029850746269	0.0576268656716418	0.012
21	16400000	24000000	21q21.1	-0.11	-0.03	0.058	0.025
3	54400000	58600000	3p14.3	0.082	-0.0245	-0.046	0.13075
11	53700000	55700000	11q11	0.09	0.083	-0.025	-0.096
13	75400000	77200000	13q22.2	-0.459	-0.02	-0.033	0.127
12	65100000	67700000	12q14.3	-0.625	0.035	-0.051	0.033
16	24200000	28100000	16p12.1	-0.335	0.077	0.059	-0.138
4	4500000	6000000	4p16.2	-0.024	-0.009	-0.04	0.084
7	43300000	45400000	7p13	0.282642857142857	-0.00714285714285715	0.0336666666666667	-0.004
20	56500000	58400000	20q13.32	0.551	0	0.002	-0.10972
1	230700000	234700000	1q42.2	-0.003	0.0113636363636363	0.011	0.01
2	231000000	235600000	2q37.1	-0.337546666666666	0.01	0.0839733333333334	0.053
7	49000000	50500000	7p12.2	0.077	0.055	0.072	-0.004
8	12700000	19000000	8p22	-0.946	0.013	-0.001	0.023
2	144100000	148700000	2q22.3	-0.485	-0.022	0.01	0.053
1	30200000	32400000	1p35.2	0.161	0.039	0.071	-0.073
3	30900000	32100000	3p23	0.007	-0.078	-0.004	-0.074
6	10600000	11600000	6p24.2	0.046	0.008	0.149	-0.082
9	18500000	19900000	9p22.1	-0.095	-0.046	-0.02	0.0572727272727273
19	38300000	38700000	19q13.13	-0.561	0.153	0.141	-0.147
10	24600000	29600000	10p12.1	0.162	-0.029	-0.055	0.053
13	45200000	45800000	13q14.12	-0.465	-0.026	-0.033	0.247
1	5400000	7200000	1p36.31	0.36	0.039	0.022	-0.073
3	44200000	50600000	3p21.31	0.4005625	0.005	0.0175	-0.0739999999999999
13	101700000	104800000	13q33.1	-0.459	-0.02	-0.033	-0.01
7	37200000	43300000	7p14.1	-0.052	-0.119	0.002	-0.004
6	61000000	63300000	6q11.1	-0.012	0.008	-0.004	0.006
5	38400000	42500000	5p13.1	0.196	0.014	-0.025	0.0304347826086957
4	41200000	44600000	4p13	-0.585	-0.0337272727272727	-0.04	0.084
14	104000000	107349540	14q32.33	0.858977777777777	0.045	0	-0.167644444444444
5	50700000	58900000	5q11.2	0.196	0.014	-0.025	0.084
2	148700000	149900000	2q23.1	-0.485	-0.022	0.01	0.053
1	117800000	120600000	1p12	0.084	0.039	0.02	0
8	68000000	70500000	8q13.2	0	0.001	-0.001	0.023
7	91100000	92800000	7q21.2	0.077	0.068625	0.072	0.367875
12	58100000	63100000	12q14.1	-0.714083333333333	0.035	0.024	0.033
22	25900000	29600000	22q12.1	-0.532	-0.038	0.0305	-0.123
2	169700000	178000000	2q31.1	-0.485	0.0607222222222221	0.01	0.053
5	24600000	28900000	5p14.1	0.196	-0.016	-0.025	-0.029
15	59100000	59300000	15q22.1	-0.705	0.05	0.057	0.055
9	9000000	14200000	9p23	-0.095	-0.046	-0.02	0.024
12	12800000	14800000	12p13.1	-0.696	-0.046	-0.042	0.033
9	36300000	38400000	9p13.2	0.126	-0.046	0.019	-0.037
2	90500000	93300000	2p11.1	-0.041	0.023	0.01	-0.03
6	40500000	46200000	6p21.1	0.331736842105263	0.00800000000000001	-0.004	-0.00203157894736841
14	50900000	54100000	14q22.1	0.036	0.045	0.074	0.058
18	48200000	53800000	18q21.2	-0.108	-0.044	-0.075	-0.005
8	43100000	45600000	8p11.1	0.158	0.013	-0.001	0.023
9	91800000	93900000	9q22.2	0.126	-0.046	0.019	0.004
4	151100000	155600000	4q31.3	-0.585	-0.025448275862069	-0.04	0.121896551724138
21	14300000	16400000	21q11.2	-0.11	-0.03	0.0408571428571429	-0.0203571428571429
8	101600000	106200000	8q22.3	0	0.001	-0.001	0.023
2	47800000	52900000	2p16.3	-0.041	0.023	0.01	0.167
10	104900000	105800000	10q24.33	0.3	-0.009	0.056	-0.0326470588235294
10	103000000	104900000	10q24.32	0.3	-0.009	0.056	-0.031
2	209000000	215300000	2q34	-0.485	-0.011	-0.018	0.053
3	93900000	98300000	3q11.2	0.082	-0.044	-0.046	0.0623333333333333
20	32100000	34400000	20q11.22	0.584	0	0.002	0.0150416666666667
1	224100000	224600000	1q42.11	-0.082	-0.027	0.011	0
9	74000000	79200000	9q21.13	0.126	-0.046	0.019	-0.037
17	0	3300000	17p13.3	-0.295941176470588	0.06	0.173	-0.116
2	12200000	16700000	2p24.3	-0.041	0.023	0.01	-0.014
8	127300000	131500000	8q24.21	0	-0.042	-0.001	-0.226
22	22200000	23500000	22q11.22	-0.526	-0.038	-0.06	-0.123
9	65900000	68700000	9q13	0.126	-0.046	0.019	-0.037
11	92800000	97200000	11q21	-0.11	-0.05	0.021	-0.096
11	70400000	75200000	11q13.4	0.243597222222222	0.0200555555555555	0.021	-0.0960000000000001
3	152100000	155000000	3q25.2	0.082	-0.042	0.005	0.067
16	21200000	24200000	16p12.2	-0.335	0.077	0.059	-0.138
3	8700000	11800000	3p25.3	0.21	-0.0504255319148936	-0.004	-0.0739999999999999
10	70600000	74900000	10q22.1	0.162	0.0422799999999999	0.09982	-0.05758
1	40100000	44100000	1p34.2	0.161	0.039	0.02	-0.073
